scenario,delta_on,turn,phi,cv,is_drifting,S_fro_norm,step,gamma
MIXED,True,32,0.655264,0.156172,0,0.305461,33,0.524488
MIXED,True,33,0.54308,0.205057,0,0.298364,34,0.42574
MIXED,True,34,0.565295,0.143646,0,0.318952,35,0.550896
MIXED,True,35,0.695197,0.140272,0,0.322943,36,0.557995
MIXED,True,36,0.896,0.182856,0,0.330422,37,0.469153
MIXED,True,37,0.809276,0.116974,0,0.324808,38,0.606192
MIXED,True,38,0.831981,0.115942,0,0.326676,39,0.608275
MIXED,True,39,0.585399,0.176366,0,0.336839,40,0.482382
MIXED,True,40,0.515375,0.206586,0,0.342697,41,0.422879
MIXED,True,41,0.563686,0.131826,0,0.349039,42,0.568714
MIXED,True,42,0.747503,0.163986,0,0.329438,43,0.502368
MIXED,True,43,0.814937,0.141595,0,0.320564,44,0.548635
MIXED,True,44,0.871823,0.13444,0,0.319986,45,0.563364
MIXED,True,45,0.73394,0.113202,0,0.33558,46,0.606117
MIXED,True,46,0.583282,0.163959,0,0.330468,47,0.502424
MIXED,True,47,0.532056,0.175039,0,0.304042,48,0.47983
MIXED,True,48,0.520589,0.14562,0,0.31506,49,0.540315
MIXED,True,49,0.679905,0.141338,0,0.311201,50,0.549165
MIXED,True,50,0.845611,0.179382,0,0.299247,51,0.471095
MIXED,True,51,0.830517,0.123003,0,0.301588,52,0.586617
MIXED,True,52,0.774766,0.115314,0,0.297361,53,0.601957
MIXED,True,53,0.549347,0.187254,0,0.299365,54,0.455487
MIXED,True,54,0.497563,0.201408,1,0.297596,55,0.428336
MIXED,True,55,0.515257,0.141368,0,0.292318,56,0.549104
MIXED,True,56,0.661676,0.151591,0,0.275053,57,0.527957
MIXED,True,57,0.772815,0.155154,0,0.27695,58,0.520583
MIXED,True,58,0.913284,0.172453,0,0.285056,59,0.485067
MIXED,True,59,0.720782,0.132775,0,0.284544,60,0.566774
MIXED,True,60,0.623017,0.152079,0,0.295098,61,0.526946
MIXED,True,61,0.475069,0.224289,0,0.302415,62,0.385845
MIXED,True,62,0.527065,0.132867,0,0.303089,63,0.560923
MIXED,True,63,0.612904,0.142525,0,0.290807,64,0.541586
MIXED,True,64,0.769346,0.162322,0,0.29417,65,0.501682
MIXED,True,65,0.873645,0.160178,0,0.279518,66,0.505996
MIXED,True,66,0.683532,0.136404,0,0.269336,67,0.553866
MIXED,True,67,0.569359,0.167546,0,0.258992,68,0.491212
MIXED,True,68,0.465128,0.212006,1,0.251072,69,0.406811
MIXED,True,69,0.521809,0.126831,0,0.26292,70,0.572878
MIXED,True,70,0.660104,0.154403,0,0.275587,71,0.517636
MIXED,True,71,0.74919,0.145499,0,0.280513,72,0.535599
MIXED,True,72,0.834226,0.147522,0,0.296202,73,0.531521
MIXED,True,73,0.710131,0.11216,0,0.324595,74,0.601294
MIXED,True,74,0.558111,0.16318,0,0.32336,75,0.49996
MIXED,True,75,0.435077,0.236537,1,0.312932,76,0.366255
MIXED,True,76,0.487861,0.132346,0,0.292033,77,0.561959
MIXED,True,77,0.638838,0.168407,0,0.307228,78,0.489493
MIXED,True,78,0.698487,0.13728,0,0.304911,79,0.552114
MIXED,True,79,0.845303,0.175364,0,0.309488,80,0.475672
MIXED,True,80,0.690186,0.120479,0,0.304361,81,0.585307
MIXED,True,81,0.541435,0.17555,0,0.298603,82,0.47673
MIXED,True,82,0.471832,0.194876,1,0.306565,83,0.439549
MIXED,True,83,0.491751,0.13769,0,0.275913,84,0.552145
MIXED,True,84,0.558504,0.12916,0,0.272405,85,0.568949
MIXED,True,85,0.743,0.178959,0,0.271129,86,0.470051
MIXED,True,86,0.756318,0.13144,0,0.272955,87,0.56448
MIXED,True,87,0.634227,0.125052,0,0.247055,88,0.57695
MIXED,True,88,0.524027,0.155057,0,0.248481,89,0.517485
MIXED,True,89,0.518329,0.135889,0,0.242168,90,0.555713
MIXED,True,90,0.463703,0.150336,0,0.237915,91,0.526933
MIXED,True,91,0.61124,0.128736,0,0.246514,92,0.569778
MIXED,True,92,0.74054,0.165331,0,0.253644,93,0.496958
MIXED,True,93,0.794162,0.140686,0,0.259724,94,0.546198
MIXED,True,94,0.666113,0.120326,0,0.260006,95,0.586065
MIXED,True,95,0.46414,0.216305,0,0.265151,96,0.40091
MIXED,True,96,0.415683,0.219893,1,0.271553,97,0.394779
MIXED,True,97,0.389937,0.179488,1,0.276012,98,0.46902
MIXED,True,98,0.588773,0.192514,1,0.300481,99,0.443992
MIXED,True,99,0.712315,0.185376,1,0.315225,100,0.457606
MIXED,False,0,0.728694,0.0,0,0.0,0,0.0
MIXED,False,1,0.896129,0.145732,0,0.0,0,0.0
MIXED,False,2,0.92,0.122891,0,0.0,0,0.0
MIXED,False,3,0.822676,0.10224,0,0.0,0,0.0
MIXED,False,4,0.705511,0.118228,0,0.0,0,0.0
MIXED,False,5,0.60947,0.166042,0,0.0,0,0.0
MIXED,False,6,0.655324,0.171132,0,0.0,0,0.0
MIXED,False,7,0.718678,0.113891,0,0.0,0,0.0
MIXED,False,8,0.893279,0.150611,0,0.0,0,0.0
MIXED,False,9,0.92,0.184703,0,0.0,0,0.0
MIXED,False,10,0.813919,0.140879,0,0.0,0,0.0
MIXED,False,11,0.684794,0.128605,0,0.0,0,0.0
MIXED,False,12,0.58522,0.182101,0,0.0,0,0.0
MIXED,False,13,0.544836,0.220965,0,0.0,0,0.0
MIXED,False,14,0.775543,0.171178,0,0.0,0,0.0
MIXED,False,15,0.86113,0.189823,0,0.0,0,0.0
MIXED,False,16,0.92,0.225257,0,0.0,0,0.0
MIXED,False,17,0.830816,0.184125,0,0.0,0,0.0
MIXED,False,18,0.661705,0.12087,0,0.0,0,0.0
MIXED,False,19,0.574718,0.188689,0,0.0,0,0.0
MIXED,False,20,0.581496,0.216794,0,0.0,0,0.0
MIXED,False,21,0.730742,0.159277,0,0.0,0,0.0
MIXED,False,22,0.844916,0.166181,0,0.0,0,0.0
MIXED,False,23,0.906325,0.206643,0,0.0,0,0.0
MIXED,False,24,0.803047,0.161397,0,0.0,0,0.0
MIXED,False,25,0.621922,0.14035,0,0.0,0,0.0
MIXED,False,26,0.552412,0.202943,0,0.0,0,0.0
MIXED,False,27,0.561745,0.228978,0,0.0,0,0.0
MIXED,False,28,0.738993,0.169308,0,0.0,0,0.0
MIXED,False,29,0.816905,0.175697,0,0.0,0,0.0
MIXED,False,30,0.884675,0.210505,0,0.0,0,0.0
MIXED,False,31,0.812648,0.162189,0,0.0,0,0.0
MIXED,False,32,0.638901,0.120104,0,0.0,0,0.0
MIXED,False,33,0.502312,0.214581,0,0.0,0,0.0
MIXED,False,34,0.632889,0.220738,0,0.0,0,0.0
MIXED,False,35,0.744453,0.178047,0,0.0,0,0.0
MIXED,False,36,0.865471,0.200945,0,0.0,0,0.0
MIXED,False,37,0.873292,0.218667,0,0.0,0,0.0
MIXED,False,38,0.815467,0.127132,0,0.0,0,0.0
MIXED,False,39,0.628064,0.129653,0,0.0,0,0.0
MIXED,False,40,0.511927,0.217972,0,0.0,0,0.0
MIXED,False,41,0.556799,0.2356,0,0.0,0,0.0
MIXED,False,42,0.707438,0.188166,0,0.0,0,0.0
MIXED,False,43,0.819612,0.190208,0,0.0,0,0.0
MIXED,False,44,0.874126,0.228267,0,0.0,0,0.0
MIXED,False,45,0.742968,0.164023,0,0.0,0,0.0
MIXED,False,46,0.634817,0.124143,0,0.0,0,0.0
MIXED,False,47,0.501994,0.208529,0,0.0,0,0.0
MIXED,False,48,0.577813,0.218621,0,0.0,0,0.0
MIXED,False,49,0.632963,0.142874,0,0.0,0,0.0
MIXED,False,50,0.860013,0.208237,0,0.0,0,0.0
MIXED,False,51,0.872728,0.24442,0,0.0,0,0.0
MIXED,False,52,0.705503,0.181848,0,0.0,0,0.0
MIXED,False,53,0.593057,0.175282,0,0.0,0,0.0
MIXED,False,54,0.472851,0.245592,0,0.0,0,0.0
MIXED,False,55,0.506217,0.258365,0,0.0,0,0.0
MIXED,False,56,0.678543,0.173162,0,0.0,0,0.0
MIXED,False,57,0.806317,0.221103,0,0.0,0,0.0
MIXED,False,58,0.850594,0.257676,0,0.0,0,0.0
MIXED,False,59,0.703543,0.188689,0,0.0,0,0.0
MIXED,False,60,0.570008,0.153301,0,0.0,0,0.0
MIXED,False,61,0.463944,0.237955,0,0.0,0,0.0
MIXED,False,62,0.474093,0.268311,0,0.0,0,0.0
MIXED,False,63,0.672736,0.191077,0,0.0,0,0.0
MIXED,False,64,0.791115,0.233307,0,0.0,0,0.0
MIXED,False,65,0.809349,0.259472,0,0.0,0,0.0
MIXED,False,66,0.756259,0.195676,0,0.0,0,0.0
MIXED,False,67,0.583691,0.129695,0,0.0,0,0.0
MIXED,False,68,0.497339,0.20212,0,0.0,0,0.0
MIXED,False,69,0.511104,0.226675,0,0.0,0,0.0
MIXED,False,70,0.611322,0.17501,0,0.0,0,0.0
MIXED,False,71,0.776091,0.187168,0,0.0,0,0.0
MIXED,False,72,0.81523,0.229628,0,0.0,0,0.0
MIXED,False,73,0.74665,0.183448,0,0.0,0,0.0
MIXED,False,74,0.558428,0.157989,0,0.0,0,0.0
MIXED,False,75,0.450389,0.234912,0,0.0,0,0.0
MIXED,False,76,0.495017,0.260568,0,0.0,0,0.0
MIXED,False,77,0.603033,0.200469,0,0.0,0,0.0
MIXED,False,78,0.803749,0.235317,0,0.0,0,0.0
MIXED,False,79,0.803665,0.26458,0,0.0,0,0.0
MIXED,False,80,0.687546,0.196048,0,0.0,0,0.0
MIXED,False,81,0.561169,0.161618,0,0.0,0,0.0
MIXED,False,82,0.448225,0.235239,0,0.0,0,0.0
MIXED,False,83,0.515771,0.235487,0,0.0,0,0.0
MIXED,False,84,0.605824,0.160518,0,0.0,0,0.0
MIXED,False,85,0.730774,0.185217,0,0.0,0,0.0
MIXED,False,86,0.807823,0.238727,0,0.0,0,0.0
MIXED,False,87,0.720316,0.170156,0,0.0,0,0.0
MIXED,False,88,0.538454,0.157688,0,0.0,0,0.0
MIXED,False,89,0.422312,0.246128,0,0.0,0,0.0
MIXED,False,90,0.477927,0.276549,0,0.0,0,0.0
MIXED,False,91,0.593566,0.208175,0,0.0,0,0.0
MIXED,False,92,0.731827,0.215085,0,0.0,0,0.0
MIXED,False,93,0.800862,0.266517,0,0.0,0,0.0
MIXED,False,94,0.629657,0.19344,0,0.0,0,0.0
MIXED,False,95,0.551179,0.155232,0,0.0,0,0.0
MIXED,False,96,0.395904,0.254563,0,0.0,0,0.0
MIXED,False,97,0.483223,0.269384,0,0.0,0,0.0
MIXED,False,98,0.607823,0.17914,0,0.0,0,0.0
MIXED,False,99,0.731417,0.229047,0,0.0,0,0.0
